Method Name, Covered Instruction, Total Instruction
__wasm_call_ctors, 1, 1
_start, 8, 11
abort, 0, 2
sbrk, 0, 34
malloc, 0, 3
dlmalloc, 0, 2942
free, 0, 3
dlfree, 0, 822
calloc, 0, 44
realloc, 0, 542
dispose_chunk, 0, 775
posix_memalign, 0, 49
internal_memalign, 0, 209
aligned_alloc, 0, 11
malloc_usable_size, 0, 27
__main_argc_argv, 0, 4
_Exit, 0, 4
__main_void, 0, 71
dummy, 1, 1
__prepare_for_exit, 3, 3
exit, 0, 6
memcpy, 133, 711
memset, 0, 190
strlen, 70, 82
close, 0, 11
__stdio_close, 0, 4
writev, 30, 40
__stdio_write, 59, 136
__isatty, 30, 38
__stdout_write, 20, 20
__lseek, 0, 37
__stdio_seek, 0, 6
__ofl_lock, 2, 2
__ofl_unlock, 0, 1
__stdio_exit, 49, 149
__towrite, 35, 42
__towrite_needs_stdio_exit, 0, 2
__fwritex, 0, 116
fwrite, 82, 127
dummy, 0, 2
__lctrans, 0, 4
__lctrans_cur, 0, 14
__strerror_l, 0, 50
strerror, 0, 59
memchr, 0, 120
strnlen, 0, 11
wcrtomb, 0, 134
wctomb, 0, 9
frexp, 0, 51
fputs, 13, 13
vfprintf, 0, 164
printf_core, 0, 4393
pop_arg, 0, 235
long_double_not_supported, 0, 7
printf, 0, 19
__overflow, 48, 65
puts, 17, 36
runCode, 41, 80
__original_main, 4, 4
main, 0, 2
